abbreviation;word
AFAIK;As Far As I Know
AFK;Away From Keyboard
ASAP;As Soon As Possible
ATK;At The Keyboard
ATM;At The Moment
A3;Anywhere
BAK;Back At Keyboard
BBL;Be Back Later
BBS;Be Back Soon
BFN;Bye For Now
B4N;Bye For Now
BRB;Be Right Back
BRT;Be Right There
BTW;By The Way
B4;Before
B4N;Bye For Now
CU;See You
CUL8R;See You Later
CYA;See You
FAQ;Frequently Asked Questions
FC;Fingers Crossed
FWIW;For What It's Worth
FYI;For Your Information
GAL;Get A Life
GG;Good Game
GN;Good Night
GMTA;Great Minds Think Alike
GR8;Great!
G9;Genius
IC;I See
ICQ;I Seek you
ILU;I Love You
IMHO;In My Honest Opinion
IMO;In My Opinion
IOW;In Other Words
IRL;In Real Life
KISS;Keep It Simple
LDR;Long Distance Relationship
LMAO;Laugh My Ass Off
LOL;Laughing Out Loud
LTNS;Long Time No See
L8R;Later
M;AM
MTE;My Thoughts Exactly
M8;Mate
NRN;No Reply Necessary
OIC;Oh I See
PITA;Pain In The Ass
PRT;Party
PRW;Parents Are Watching
QPSA;Que Pasa ?
ROFL;Rolling On The Floor Laughing
ROFLOL;Rolling On The Floor Laughing Out Loud
ROTFLMAO;Rolling On The Floor Laughing My Ass Off
SK8;Skate
STATS;Your sex and age
ASL;Age, Sex, Location
THX;Thank You
TTFN;Ta-Ta For Now!
TTYL;Talk To You Later
U;You
U2;You Too
U4E;Yours For Ever
WB;Welcome Back
WTF;What The Fuck
WTG;Way To Go!
WUF;Where Are You From?
W8;Wait...
7K;Sick:-D Laugher
AL;Alabama
AK;Alaska
AZ;Arizona
AR;Arkansas
CA;California
CO;Colorado
CT;Connecticut
DE;Delaware
FL;Florida
GA;Georgia
HI;Hawaii
ID;Idaho
IL;Illinois
IN;Indiana
IA;Iowa
KS;Kansas
KY;Kentucky
LA;Louisiana
ME;Maine
MD;Maryland
MA;Massachusetts
MI;Michigan
MN;Minnesota
MS;Mississippi
MO;Missouri
MT;Montana
NE;Nebraska
NV;Nevada
NH;New Hampshire
NJ;New Jersey
NM;New Mexico
NY;New York
NC;North Carolina
ND;North Dakota
OH;Ohio
OK;Oklahoma
OR;Oregon
PA;Pennsylvania
RI;Rhode Island
SC;South Carolina
SD;South Dakota
TN;Tennessee
TX;Texas
UT;Utah
VT;Vermont
VA;Virginia
WA;Washington
WV;West Virginia
WI;Wisconsin
WY;Wyoming
DC;District of Columbia
US;United States
UK;United Kingdom
USA;United States
